,activityID,heart_rate,hand temperature (°C),hand acceleration X ±16g,hand acceleration Y ±16g,hand acceleration Z ±16g,hand gyroscope X,hand gyroscope Y,hand gyroscope Z,hand magnetometer X,hand magnetometer Y,hand magnetometer Z,chest temperature (°C),chest acceleration X ±16g,chest acceleration Y ±16g,chest acceleration Z ±16g,chest gyroscope X,chest gyroscope Y,chest gyroscope Z,chest magnetometer X,chest magnetometer Y,chest magnetometer Z,ankle temperature (°C),ankle acceleration X ±16g,ankle acceleration Y ±16g,ankle acceleration Z ±16g,ankle gyroscope X,ankle gyroscope Y,ankle gyroscope Z,ankle magnetometer X,ankle magnetometer Y,ankle magnetometer Z
1886031,4,86.0,34.0,-5.81419,4.62498,5.71051,-0.890952,-0.147301,0.667365,21.9346,-13.8409,-41.6568,36.375,-0.881396,9.49048,-3.45068,0.11371,-0.132148,0.0363305,9.42939,-36.5438,2.52053,35.0625,9.59063,-1.06528,-2.61249,-0.170577,0.0288712,0.355521,-22.1801,16.5339,44.7117
2556349,4,88.0,34.75,-0.718911,-6.67506,2.47655,-0.867094,2.54644,-4.95333,14.9379,11.2234,-48.225,37.9375,-0.778481,10.22,-1.32154,0.197681,-0.981347,-0.0683015,-14.5755,-40.4207,-6.08474,34.6875,9.6128,-0.186456,-3.31232,-0.0151391,0.000543896,-0.0705021,-48.7302,-9.19795,-5.56041
2831402,10,139.0,30.875,2.59911,-13.1983,1.47061,0.709348,-0.144037,0.0717003,13.6248,52.8761,-33.252,34.0625,3.23602,12.61,-2.34076,-0.0940888,0.634594,0.149785,-23.2057,-45.5486,22.2262,31.6875,4.18631,-7.27972,-4.636,1.59752,1.00065,1.12,-25.4199,44.1775,-22.4183
2125734,7,175.0,28.0625,12.5943,-1.15271,-4.69375,2.0589,-3.18003,0.406611,22.2957,-44.3634,-5.38357,33.1875,2.74824,-4.06594,-1.83074,-1.40118,-1.5923,1.2504,-7.72358,-41.8339,-6.45205,33.8125,9.50075,7.41,5.74652,2.1909,-1.9207,8.55956,-44.3223,3.93592,25.9266
1268273,3,134.0,32.4375,-6.51188,0.374377,4.98313,0.124053,-0.516056,-0.0933474,32.6026,-28.3017,-30.6984,35.625,-0.672066,5.06245,-1.10924,0.0613799,-0.558776,0.113257,-18.4646,-40.1579,3.05199,33.5,8.46976,2.04875,-1.83292,0.0877269,-0.319317,-1.84879,-62.2779,-7.99873,40.9115
263774,0,147.0,32.375,-5.06417,9.54231,8.8996,0.127643,0.766058,-1.50167,-9.86303,-33.2735,-57.9243,36.9375,0.304134,13.1641,0.237344,0.0574789,0.508954,-0.0360965,32.5005,-56.8741,1.23382,34.1875,13.935,-0.104957,-2.65107,-0.312594,1.12592,-2.5618,-65.3104,-0.655633,-14.9978
750847,2,119.0,29.375,-5.61235,1.89995,6.64642,-0.286661,0.367128,-0.520588,37.7536,-29.4699,-43.8469,34.0625,-1.23178,2.36277,-10.7908,0.303526,-0.232542,-0.41597,-16.9964,-12.0306,55.826,32.875,12.6379,-2.50675,-0.449864,-0.530646,0.184385,-1.52036,-41.6058,7.55599,35.3976
898153,8,79.0,32.125,-1.54766,3.1055,9.2434,-0.0107492,0.0335887,-0.000489411,5.30458,-8.72138,-30.0585,35.1875,0.408721,9.34074,2.84597,0.00368204,0.0267432,-0.0356728,4.42047,-18.7607,-7.23093,33.125,9.67584,0.686396,1.35224,0.0728373,-0.0268107,0.0153363,-14.1277,-3.88322,17.7219
1312921,12,114.0,31.0625,-13.6557,2.47422,4.40719,1.34391,-0.0705884,0.384845,49.3803,-10.2004,-15.7505,35.625,2.28077,14.3058,-2.59591,-0.269279,-0.41139,0.299818,-6.2485,-38.6573,-12.946,33.4375,18.1132,15.209,1.8889,2.19819,-0.700955,-2.81889,-34.5049,31.6255,20.5394
1292558,10,115.0,32.125,-11.3435,3.15823,2.32272,0.977294,0.65363,-1.24269,29.4293,14.1936,-17.564,35.6875,-1.50432,9.74146,-0.0553404,0.320033,0.334618,0.0783367,9.08797,-25.4511,12.8895,33.5625,9.38237,0.794678,-2.39463,0.179947,0.0760322,-0.318994,-26.2736,-8.60688,7.14096
404154,5,74.0,33.8125,2.84435,-0.71468,5.97368,0.613302,1.04819,0.391365,16.3148,24.6376,-33.6441,37.1875,-4.01358,9.11102,0.172296,0.636913,1.21047,-0.768484,41.81,-12.9706,5.1117,34.6875,4.66894,-8.27508,0.661898,-0.187441,-1.38235,-1.80119,-30.682,13.2101,-4.48815
1375393,2,104.0,28.875,-6.4378,0.279343,7.13986,0.0367658,-0.0646976,-0.0164113,50.9389,-13.0261,-34.109,34.0625,-0.251214,7.66064,-6.45355,-0.032875,-0.0643242,0.0675231,-6.75892,-27.4811,46.4908,32.75,9.56218,2.33333,-0.318495,0.00494102,0.00735723,0.0194168,-32.1137,-18.7251,13.5146
654664,12,120.0,31.9375,-14.589,1.65121,4.89633,-0.2371,0.597447,-4.37882,41.849,-23.0647,-18.8273,36.5,0.383189,8.30403,-5.66973,-0.308932,-0.34961,0.699528,2.33054,-40.0966,11.8307,34.5625,1.51931,-3.88042,-0.401003,2.0094,-0.277632,1.61877,-39.383,-20.2701,-2.42231
1895038,4,86.0,34.0,-4.65886,5.41698,6.18699,-0.396163,0.122369,0.0382872,8.21023,-35.8094,-29.0287,36.4375,0.166099,9.52906,-2.8123,-0.110917,0.00123001,-0.0763163,-13.2262,-35.1985,8.70046,35.0625,9.31987,-1.47935,-2.84423,-0.0413697,-0.0558918,0.0281546,-27.7416,-3.52745,45.7082
2647292,10,98.0,34.0625,-0.568944,-2.63153,9.23893,0.0209281,-0.0220147,-0.00521306,18.2176,-4.32642,-28.715,38.0,-0.54937,9.6637,0.0396548,0.0660986,0.00166165,0.024943,8.8321,-27.5152,22.4877,33.9375,6.69199,-7.25108,-0.751524,-0.0149637,0.0546982,-0.024305,-16.975,20.108,-8.60301
1844625,9,87.0,33.5625,-8.36763,2.84936,4.33119,-0.01016,-0.00243964,-0.00331597,24.3889,-16.0765,-34.2992,35.9375,0.257453,9.92607,0.247024,-0.0134512,0.0158946,-0.0637726,0.104702,-27.2873,-10.5693,34.75,9.52066,-2.67402,-0.8281,0.00401947,0.00497928,0.0217553,-20.9531,16.3298,39.894
961836,11,97.0,33.125,-6.69713,5.41257,-0.309408,-0.382134,-0.258673,-1.15954,39.407,-9.18087,-4.29936,36.6875,-1.76634,8.51293,-3.65714,0.486194,-1.19224,-0.865783,18.5214,-22.7917,27.6671,34.0625,10.2213,-0.241794,-1.64639,-0.405514,-0.0368833,-0.301112,-34.3437,-0.164531,-9.55202
2732581,10,109.0,31.1875,-3.60285,-5.39511,7.27844,-0.00852735,0.0189795,-0.0159728,31.5339,28.4714,-25.0039,35.8125,0.877927,9.62553,0.646451,0.0525179,0.0368608,-0.0431426,16.1658,-33.7083,12.9856,31.8125,9.02602,-0.403643,-4.16596,0.0184418,-2.40352e-05,0.055619,-30.2213,17.3858,22.9821
2851488,10,158.0,30.875,0.443125,-10.7571,5.24033,-0.584161,1.74299,-0.0856557,-5.07138,36.5131,-14.7424,34.1875,-0.7398435,9.701945,0.0360797,-0.2107995,-0.2243105,0.02184815,21.7828,-37.63785,-3.803,31.75,9.26685,-1.51258,-3.38482,0.0433131,0.0699709,0.213889,-25.4562,-1.51265,25.4319
1147523,9,101.0,33.1875,-8.76791,3.21561,2.51505,0.0138497,0.0169883,-0.0115668,31.2119,-21.6356,-8.9515,35.1875,1.11358,9.66402,0.882921,0.0167942,-0.0285322,-0.0200063,-1.68131,-26.833,-11.9944,33.9375,9.39381,0.459791,-3.2414,0.0334714,0.101943,-0.00482874,-2.08567,-0.0898201,30.0511
817739,10,128.0,28.9375,-0.0376208,0.0257841,9.85372,-0.00221015,0.0211405,-0.00245093,-21.7444,14.9566,-65.3694,32.4375,-0.549088,-7.25612,-7.41721,-1.39669,-0.137772,-0.13657,7.67946,14.8173,23.6309,30.5,5.21235,-9.63638,4.22616,0.453177,-0.932718,1.35487,-7.99613,25.6498,-4.54101
2155089,5,68.0,30.4375,0.366206,4.41279,8.61338,-0.0052804,-0.0137203,0.00891756,-5.01929,16.8902,-33.6521,33.0,0.730775,2.15356,9.26412,0.0104277,-0.0106955,-0.0121015,35.1498,4.0717,-33.2052,30.3125,-1.13957,-8.8018,-4.79694,-0.0258026,0.0326925,0.00696964,-12.3024,29.0192,-7.46225
13392,5,87.0,31.1875,0.423037,5.73303,7.80154,-0.0418128,0.0167988,-0.0131355,-31.9412,16.6324,-39.6585,33.0,1.08942,2.00551,9.81319,-0.0200681,-0.0215881,-0.00490706,40.0116,10.2047,-54.212,31.5625,-0.594743,-7.53496,-6.92164,-0.00875947,-0.0221132,0.0285572,-13.8709,44.6191,-5.0333
229785,12,123.0,33.375,-13.6874,3.9152,4.2864,-1.88873,-0.0624658,3.26163,48.5604,-40.7065,-14.2337,37.25,1.57467,10.0424,-4.1824,0.0249865,0.565173,-0.335631,-16.9273,-59.1297,-11.5318,34.8125,10.8637,0.931202,-1.64708,-0.864527,0.318393,-1.22222,-51.8353,18.5981,36.9607
1543194,11,95.0,35.375,-1.51064,8.39616,2.68326,-0.192675,0.428965,-0.041909,14.7399,-38.2603,-18.266,37.6875,2.44163,8.69147,-3.07812,-0.0587171,0.0742553,0.0643834,-7.84832,-33.4544,1.11374,34.3125,9.57906,-1.59427,-2.91804,-0.0416933,0.08344,0.131079,-46.9966,27.4648,13.6923
682299,12,124.0,31.0625,-10.171,1.08479,0.615341,-1.84947,-0.0529299,4.02869,35.694,-18.2582,-26.3431,36.0,3.5212,9.32191,-3.98991,0.385129,0.43751,-0.383128,13.864,-26.113,29.0629,34.25,10.7499,-0.197745,-2.79893,0.21858,0.422207,-1.96832,-38.9143,-8.71044,6.60923
106277,4,103.0,33.375,-0.997875,8.15219,5.53983,0.202707,0.208039,-1.55714,11.7513,-62.8776,-19.6061,35.3125,-0.347416,9.34713,-2.12403,0.105463,-0.0293798,-0.149471,-17.998,-54.746,-10.439,34.125,9.61633,-0.996729,-1.72509,-1.12805,-0.0618182,0.229263,-56.9297,4.72861,48.242
2067064,0,110.0,30.125,-15.626,6.31321,3.44103,1.60773,0.866857,-2.36232,39.5509,-38.3402,-13.0665,35.625,1.51236,11.4267,0.0325549,-0.757896,-0.0181273,-0.18158,-3.82801,-54.2476,10.8481,34.4375,16.3103,-16.5916,-8.0813,-3.61552,1.15978,-2.90418,-25.4036,-32.2139,6.03674
2541753,4,92.0,34.6875,6.46033,-4.61962,1.03766,-0.968598,2.17442,-1.91506,-20.8741,34.4862,-38.7136,37.75,-0.0548247,9.7372,0.00965449,0.00807977,0.208551,-0.0266353,-15.0039,-49.8149,-10.4055,34.5,9.55538,-0.647386,-2.61544,0.0507742,-0.017137,-0.0602539,-54.1209,2.13036,-9.84748
1681005,0,127.0,34.75,-1.59907,12.2308,11.3287,3.70195,-1.86307,1.42985,-8.5345,-21.8731,-10.838,38.5,-1.33654,22.8776,-0.753255,0.364191,0.372992,-0.187899,-2.3253,-23.7192,-7.08136,34.3125,28.3896,-12.1285,-1.27053,-2.82385,-0.507746,-3.70074,-37.5967,-1.29722,24.1125
338685,10,141.0,30.1875,-5.62906,3.39111,3.67761,1.36095,-0.847376,0.0182323,38.1159,-26.3061,-3.77478,33.625,-0.418074,9.72493,-1.97165,-0.0397006,0.270644,0.0129477,-9.15307,-37.3061,17.4214,33.0,9.25522,-3.11698,-2.17871,0.292428,0.0624208,-0.162853,-49.95,-9.93491,11.8851
1981486,1,144.0,33.3125,-11.5263,2.90468,-0.71967,-0.0339454,-0.71747,2.98061,53.8351,-6.83143,-4.10029,36.6875,2.45009,8.42997,-2.76734,-0.686938,0.284276,0.384117,-4.30201,-47.5311,17.7158,35.0,9.36817,3.98235,-2.18302,0.0141811,-0.130075,0.605805,-35.6662,-12.6198,15.4807
378082,10,98.0,33.25,-2.63989,7.41036,-2.44915,1.39483,-0.168754,-1.45848,2.95457,-35.9328,14.925,36.375,0.874511,9.18455,-3.30171,-0.223679,0.133551,0.0732545,-17.6515,-33.2753,10.9238,34.125,9.78986,-1.07,-2.18593,0.0270482,0.00433633,0.0375646,-46.3129,-1.66653,61.4551
1329463,10,118.0,30.0625,-7.9176,5.33479,2.6361,0.020767,-0.00108936,0.0255419,43.1683,-36.6748,-17.4146,35.1875,1.72092,9.58629,0.816735,-0.0116089,-0.0868356,-0.0186283,-9.2114,-37.7734,-13.6767,33.0625,9.48393,1.06328,-2.81974,0.0370518,0.0271484,0.00314438,-91.8089,-3.81362,43.7812
808040,10,135.0,28.75,-4.3063,5.92814,4.26618,-2.30354,-1.05489,1.04327,2.29612,-26.1179,-9.14896,32.25,-2.34459,6.61419,-6.29447,-0.265443,-0.317692,0.0134538,-4.48751,-12.8015,21.2026,30.4375,13.3611,4.88964,-0.102452,0.69495,0.730998,-1.8271,-13.9819,-0.708857,27.6568
179475,3,130.0,33.8125,-10.3878,0.966857,4.19182,0.832838,0.26955,-1.81933,84.8172,-11.014,-15.8334,36.6875,-0.144573,11.5407,-0.617369,-0.460999,-1.09549,0.884801,8.58539,-62.5094,44.8688,34.875,-2.31297,25.1955,-1.19959,-1.22201,1.01215,-0.0169272,-93.0929,18.1071,33.9508
130356,11,138.0,33.625,-2.77706,4.45244,1.83087,-0.218574,-0.967063,0.50429,33.6119,-35.2939,-3.82007,35.625,-2.2424,6.92088,-5.44175,-1.54516,-0.0334563,0.603788,2.68405,-35.536,37.2159,34.5625,9.48956,0.0135469,0.196821,-0.289503,-0.109568,-0.325121,-41.2919,17.1081,21.2624
1898453,4,85.0,34.0625,-2.16805,5.93687,7.10775,0.41327,-0.30515,-0.450425,5.92348,-35.6834,-23.2506,36.5,-0.383191,9.79935,-2.08743,-0.00539467,-0.464253,0.0627051,-3.81253,-36.6989,1.44225,35.125,9.7795,-1.78947,-2.41311,0.0911146,-0.139627,0.509026,-22.8165,-1.32817,45.2975
2456809,10,78.0,33.5,-9.50169,-1.99085,0.943641,-0.0348582,-0.0384807,0.00940314,48.985,-7.18224,11.7907,36.3125,0.363591,9.84859,-0.0218482,0.0456082,0.0978603,0.0116075,7.69866,-39.4691,24.2398,33.0625,9.44339,-0.380574,-2.65683,-0.00570725,-0.00605024,0.0216262,-35.2085,39.0156,-17.4827
1948971,1,121.0,33.75,-8.25209,4.24909,-0.2518,-0.887798,0.84064,-1.27355,33.2634,-37.5132,-20.4078,36.8125,2.19535,14.7179,-2.94728,-0.128917,1.18179,-0.456101,-12.9958,-39.1859,-9.32386,35.1875,22.39,-6.88353,-6.65138,-0.374258,0.509393,-2.87654,-53.6656,-13.7566,24.0704
153426,10,125.0,33.8125,2.48922,9.37655,1.27734,-0.0196741,0.00113343,0.0108803,-31.6333,-33.7455,9.32681,36.0625,0.429199,9.57377,-1.64605,-0.00859534,0.00870458,-0.00208574,-32.2517,-38.6026,-0.827209,34.8125,9.78155,-1.19234,-1.14334,0.0294086,0.029643,-0.0157581,-17.7787,-3.33495,53.0345
2533045,9,78.0,34.5625,-8.55406,-3.61616,2.46433,0.18671,0.0594199,0.261123,45.0009,3.68126,-19.894,37.625,-0.124191,9.73899,0.240718,0.00119799,-0.0427235,0.12778,-5.11075,-36.9098,2.28044,34.375,9.12428,-0.134077,-4.70688,0.0198441,0.0213348,0.00934648,-37.1902,-2.89929,11.6346
2742599,2,131.0,31.25,-7.95866,0.430405,5.73102,-0.177174,-0.440099,-0.837676,28.7188,-26.9865,-43.953,35.875,-0.814905,6.09251,-4.75494,0.252139,0.127626,-0.776876,-11.831,-39.6405,14.0936,32.0,1.95135,-1.02631,-1.53338,-0.442137,-0.651029,-1.39247,-42.6652,-7.67118,3.53641
1257097,1,114.0,32.625,-8.67799,3.79648,3.89998,0.83153,-0.326257,0.11755,46.3901,-11.2597,16.6763,35.625,0.0663265,8.4213,0.364615,0.284567,0.00490034,-0.230966,-25.8164,-36.4263,23.7073,33.5625,-0.33758,3.12408,-1.23531,2.39056,0.024851,2.1882,-3.86976,-11.5498,42.9649
22964,5,80.0,31.625,7.21685,1.34144,6.37862,0.0123233,0.0397914,-0.0325761,-2.53232,23.0684,-55.0864,33.4375,0.656575,-0.103586,9.54116,0.014746,-0.00682248,-0.0367769,46.5442,13.2627,-45.8961,32.0625,-0.0682964,-7.27283,-6.87928,0.0233199,0.0504035,0.00411406,-19.6682,44.4465,-1.52192
1051064,12,120.0,30.25,-10.4642,1.43026,0.80222,0.936601,-3.25823,2.54109,40.7389,0.0945381,-12.3156,37.0,0.288336,5.0323,0.457095,0.107633,-0.214137,-0.102656,6.99667,-30.7472,11.0561,34.625,9.32606,-1.13891,-2.69192,-0.605998,-0.210949,-0.51675,-33.7746,-8.72093,18.8212
909068,9,88.0,32.375,9.05574,-1.62156,3.37566,-0.155159,0.00943294,0.00436511,-24.3051,10.6663,-7.86919,35.5,2.17465,9.21648,2.02651,0.0055114,0.0445406,-0.0253831,-10.5766,-24.2751,-9.30459,33.3125,9.86604,0.021218,-1.03423,0.0233852,0.000683496,-0.00895585,-6.58394,-3.0146,23.7346
2708511,12,124.0,32.5625,-15.1771,-2.88588,1.93929,-1.188,-0.339063,-0.833411,29.2191,-24.7418,11.5436,37.1875,-1.25017,18.3552,-1.27908,-0.111628,0.141321,0.10126,9.73554,-28.5812,23.3461,32.8125,25.1925,-8.18697,-2.60124,-3.52998,0.608709,4.93124,-38.2115,12.3615,17.712
1669315,0,101.0,34.9375,-0.512057,7.82451,3.27745,0.463702,0.425813,-0.990197,3.67116,-48.9598,-14.6355,38.5,0.235248,9.02665,0.86908,0.0817297,0.830206,-0.166539,-1.44187,-44.8912,-17.5303,34.5,26.2673,7.33468,-7.20152,2.20913,1.56007,7.09792,-39.1022,33.245,11.7277
473961,4,88.0,34.3125,-1.42138,7.29215,6.57554,-0.657892,1.0576,1.65353,-17.332,-28.9879,-35.9199,37.625,-0.689085,8.85055,-3.32896,0.0492732,0.222337,-0.0858104,2.77552,-33.7069,-4.21162,35.0625,9.74213,-1.15349,-1.22116,-0.0788954,0.134053,-0.0355451,-38.3063,13.0415,37.2858
2294686,1,133.0,34.0,-6.35681,4.35934,1.00781,-0.135299,0.15155,-0.0100064,14.1345,-50.1396,-15.6993,37.6875,2.49635,11.2251,-1.45908,0.298433,0.176729,-0.31899,23.8532,-57.5856,6.26547,32.8125,10.4869,-0.385928,-2.80046,-0.529822,0.340826,-0.0639391,-60.4088,17.1966,15.7845
518311,11,94.0,34.4375,-7.1115,-5.04521,5.14639,1.27142,1.70075,0.164498,15.3159,13.125,-30.8635,38.0625,1.25364,8.27101,-4.56967,-0.158347,-0.486058,0.139067,18.4192,-22.9562,9.40126,35.3125,9.7903,0.0706667,-2.38595,-0.158534,0.245137,-0.517597,-20.3061,12.2808,-12.0097
1240540,10,124.0,32.625,-7.7703,5.6161,0.289628,-0.317829,-0.419921,-0.0249893,33.9465,-52.6878,-17.955,35.4375,0.823083,9.93166,1.34144,0.195167,0.0715137,-0.178213,-9.52338,-47.06,-1.78176,33.4375,9.5423,0.649328,-3.31823,-0.0244927,-0.0338219,0.0213163,-62.647,11.7306,45.2841
1132988,8,78.0,33.0,-2.53573,7.33386,6.01989,0.349697,0.0172781,0.0262528,8.19911,-22.1522,-20.1877,35.125,0.47159,9.46173,-1.49003,-0.685631,0.0310488,0.102432,2.77473,-23.7899,3.81186,33.875,9.69921,1.80372,-0.661109,0.0527235,0.013314,-0.0205763,-6.49123,-6.71495,22.8099
1488543,9,87.0,35.1875,-8.94053,2.12287,3.20892,0.480786,-0.156007,0.746834,39.3626,-10.7655,9.20732,37.1875,1.69392,10.1823,-0.153715,-0.223645,-0.754601,-0.0210637,-13.3328,-25.1322,5.82247,34.375,9.46123,-0.755357,-3.27176,-0.0337597,0.133279,-0.0330704,0.955973,-9.24275,33.7601
1342037,0,121.0,29.6875,-3.92478,1.83471,0.860323,-0.297511,-0.601023,3.72461,8.50326,-42.6465,-23.2136,34.9375,1.77661,2.53568,-0.514572,-0.0205967,-0.331698,-0.0658848,-4.71459,-39.6183,-11.3789,33.0625,9.12059,0.834306,-2.39756,-0.220371,0.00516394,-0.379005,-40.5895,19.9687,24.9283
2097994,2,134.0,28.5625,0.13971,-4.33512,6.06084,-0.222548,0.24698,0.55847,34.4044,-1.49351,-66.9534,34.375,0.252154,4.56026,-13.6365,0.398097,0.481753,-0.969165,29.895,-18.5185,48.528,34.0,17.0257,1.30355,-0.814408,0.358567,-0.434272,0.238348,-54.5834,-9.15894,-4.0209
1571383,10,94.0,35.125,-9.36086,2.29473,0.854319,-0.0137868,-0.00706081,0.0131994,28.6646,-44.4475,5.88999,37.75,0.760921,9.76705,-0.750083,0.00868721,-0.0115806,-0.00949845,-19.6268,-29.3923,-14.5018,34.1875,9.58816,0.152287,-2.92878,0.0222102,0.0408809,0.0205643,-12.9764,38.5982,42.3073
505052,11,102.0,34.4375,-5.85707,-3.5662,6.16086,-1.20287,0.808276,0.794411,18.6623,2.16396,-39.8154,37.9375,-0.85974,5.84781,-7.54287,-0.509232,0.327298,-0.170455,12.4053,-25.4493,22.9128,35.25,9.98439,-0.921236,-1.95332,-0.236297,0.362718,0.139487,-40.6018,-4.54529,13.2277
554560,1,134.0,34.1875,-6.6536,4.63794,2.19554,0.778575,-0.850981,-1.00223,40.087,-14.6123,-41.9775,38.125,-0.180183,5.27712,-2.5337,0.107323,0.714612,-0.303102,24.6649,-43.4501,15.965,35.3125,21.7239,-2.43835,-11.1622,4.40989,0.465632,6.67909,-48.3524,-4.92962,-3.91822
2295699,1,137.0,34.0,-10.1342,2.77017,2.41911,0.420156,0.686898,-0.476801,50.1983,-47.9639,-7.51797,37.6875,2.21429,8.76775,-3.04376,0.0755057,0.505942,0.0234201,6.57687,-51.4226,25.2869,32.8125,9.11618,4.20925,-1.87829,0.298302,0.125732,0.557749,-19.5905,-2.0325,35.6651
1004345,10,137.0,32.0,-1.04484,8.78182,-4.66216,0.801624,0.993511,-0.0391087,11.9174,-13.5963,23.0484,36.75,1.65223,9.69237,-0.23032,-0.120055,1.16972,0.0888885,-6.17343,-23.1526,22.8792,34.4375,9.68166,-0.500078,-2.15199,0.189127,0.0295183,-0.165797,-15.5304,-10.5727,26.8216
2362667,12,97.0,32.9375,-12.0698,4.07063,1.8854,0.235176,-0.261957,2.32116,46.3522,10.6863,-14.5587,37.75,0.901595,10.0649,-1.17443,0.211644,-0.000567769,-0.110386,1.94233,-42.8604,17.3098,32.1875,9.91478,-1.60677,-1.64106,-1.50362,0.187812,-0.999044,-39.6703,-9.58358,16.8814
989283,3,98.0,32.1875,-4.10027,-0.26055,8.21585,0.152083,0.0635122,-0.350019,31.4618,15.3011,-44.4495,36.5,0.275865,7.66364,-0.20994,0.172461,-1.49738,0.116559,16.1985,-41.5576,-1.19926,34.0625,8.92335,-2.15495,-3.50013,-0.672738,-0.263374,-0.619823,-42.2746,4.19731,15.6865
194376,3,160.0,33.6875,-3.00653,3.7437,2.98444,0.101591,0.149039,1.51964,72.8606,-29.1127,32.3673,36.9375,0.621014,3.84482,-2.35965,0.0138126,0.286052,-0.0789933,-56.9567,-53.7644,24.3963,34.875,16.6186,6.17815,2.3541,-1.86009,-1.8057,5.58966,-51.9986,-50.1106,35.4864
274713,10,138.0,32.125,6.78166,5.52525,7.12774,-1.83546,-0.125339,0.583042,-37.4151,-3.45282,-52.4268,36.75,0.229352,14.1431,0.194086,-0.286851,0.229837,-0.120604,13.2256,-54.6428,-13.5198,34.0,15.7229,0.141649,-1.66953,-0.521057,1.15307,-2.19186,-33.4342,10.5636,11.226
